relation id: P129	rank: 0.292479302832244	percentage: 2572.0/8705
relation id: A4	rank: 0.2407689350249904	percentage: 1917.0/8705
relation id: P1479	rank: 0.31877073906485676	percentage: 1044.8/8705
relation id: P703	rank: 0.5875344952795932	percentage: 7597.0/8705
relation id: P2868	rank: 0.28504753416518125	percentage: 1720.0/8705
relation id: A6	rank: 0.25401960784313726	percentage: 558.0/8705
relation id: P69	rank: 0.4862125902992776	percentage: 6421.0/8705
relation id: P111	rank: 0.1645985060690943	percentage: 740.0/8705
relation id: P710	rank: 0.40211824123588824	percentage: 6549.0/8705
relation id: P425	rank: 0.18894607843137254	percentage: 82.0/8705
relation id: P2354	rank: 0.2071353419416547	percentage: 4286.0/8705
relation id: P6216	rank: 0.2807978363759297	percentage: 568.0/8705
relation id: P306	rank: 0.10278261922052773	percentage: 134.0/8705
relation id: P2175	rank: 0.458045751633987	percentage: 4845.0/8705
relation id: P734	rank: 0.479640522875817	percentage: 5191.0/8705
relation id: A18	rank: 0.2115032679738562	percentage: 1479.0/8705
relation id: P1366	rank: 0.4376351752822341	percentage: 3434.0/8705
relation id: P205	rank: 0.44725322607675544	percentage: 4762.5/8705
relation id: A16	rank: 0.33477124183006535	percentage: 3718.0/8705
relation id: P195	rank: 0.574173669467787	percentage: 6054.0/8705
relation id: P103	rank: 0.24564270152505444	percentage: 392.0/8705
relation id: A0	rank: 0.2581844589687727	percentage: 3723.0/8705
relation id: P400	rank: 0.3389780154486037	percentage: 1995.0/8705
relation id: A13	rank: 0.4616557734204793	percentage: 5142.0/8705
relation id: P517	rank: 0.2366830065359477	percentage: 2391.0/8705
relation id: A11	rank: 0.22675381263616556	percentage: 220.0/8705
relation id: A9	rank: 0.2625490196078431	percentage: 2214.0/8705
relation id: A1	rank: 0.2685359477124183	percentage: 257.0/8705
relation id: A8	rank: 0.5088888888888888	percentage: 136.0/8705
relation id: A10	rank: 0.4575490196078431	percentage: 4745.0/8705
relation id: A3	rank: 0.2376470588235294	percentage: 224.0/8705
relation id: A7	rank: 0.38908496732026143	percentage: 3.0/8705
relation id: P301	rank: 0.39537730243612584	percentage: 5090.0/8705
relation id: A15	rank: 0.36578898225957046	percentage: 59.0/8705
relation id: A2	rank: 0.5830501089324619	percentage: 7336.0/8705
relation id: A17	rank: 0.48934640522875816	percentage: 6103.0/8705
relation id: A5	rank: 0.23847494553376905	percentage: 5043.0/8705
average rank: 0.3710683435067966
